subj;trial;trigger;response;RT;time 
try2;Block3_old_1.wav;10;1;2323;81.07572189997882 
try2;Block3_new_m3t1e4.wav;50;2;2477;85.91383819992188 
try2;Block3_new_m1t1e6.wav;50;2;1745;90.90961329999845 
try2;Block3_old_2.wav;10;1;1667;95.1716992999427 
try2;Block3_old_3.wav;10;1;1439;99.39169449999463 
try2;Block3_old_3.wav;10;1;1869;103.60959649994038 
try2;Block3_new_m2t1e5.wav;50;2;2170;107.99616460001562 
try2;Block3_new_m1t1e3.wav;50;2;1389;112.68104379996657 
try2;Block3_old_1.wav;10;1;1834;116.89999760000501 
try2;Block3_new_m2t1e8.wav;50;2;1882;121.25263679993805 
try2;Block3_old_2.wav;10;0;2900;125.65087529993616 
